Recipe(inlink) URL,Outlink URL
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-ever-vegan-mac-n-cheese
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-pumpkin-pancakes
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-eggplant-parmesan
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/best-spice-rub
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/cauliflower-crust-pizza
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-cheesy-garlic-bread-ever
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-vegan-vanilla-ice-cream
https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,https://tasty.co/recipe/red-white-and-blue-berry-rolls
https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,https://tasty.co/recipe/healthier-homemade-cinnamon-rolls
https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,https://tasty.co/recipe/bacon-cinnamon-rolls
https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,https://tasty.co/recipe/4-hour-giant-banana-cinnamon-roll
https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,https://tasty.co/recipe/strawberry-sweet-rolls
https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls,https://tasty.co/recipe/giant-cinnamon-roll
https://tasty.co/topic/keto,https://tasty.co/recipe/keto-breakfast-sandwiches
https://tasty.co/topic/keto,https://tasty.co/recipe/keto-bacon-cauliflower-mac-n-cheese
https://tasty.co/topic/keto,https://tasty.co/recipe/keto-friendly-flatbread
https://tasty.co/topic/keto,https://tasty.co/recipe/co-keto-puerto-rican-coconut-eggnog
https://tasty.co/topic/keto,https://tasty.co/recipe/keto-caprese-avocado-bowls
https://tasty.co/topic/keto,https://tasty.co/recipe/keto-friendly-lasagne-dome
https://tasty.co/topic/keto,https://tasty.co/recipe/peanut-butter-keto-cookies
https://tasty.co/topic/keto,https://tasty.co/recipe/keto-friendly-spinach-artichoke-chicken-rolls
https://tasty.co/topic/keto,https://tasty.co/recipe/90-second-keto-bread
https://tasty.co/recipe/keto-breakfast-sandwiches,https://tasty.co/recipe/breakfast-bombs
https://tasty.co/recipe/keto-breakfast-sandwiches,https://tasty.co/recipe/chili-cheese-burger-bowls
https://tasty.co/recipe/keto-breakfast-sandwiches,https://tasty.co/recipe/taco-triangles
